2019090909,豚肉とキャベツと春雨のピリ辛炒,590,定食,2019-09-09,2019-09-15,,週代わり定食9番
2019090915,豚レバーと玉ねぎのピリ辛炒め,730,定食,2019-09-09,2019-09-15,,週代わり定食15番
2019091609,鶏肉唐揚げとさつまいもの甘酢炒め,590,定食,2019-09-16,2019-09-22,,週代わり定食9番
2019091615,牛肉と大根の旨煮,730,定食,2019-09-16,2019-09-22,,週代わり定食15番
2019092309,豚バラ肉とエリンギと玉子のピリ辛炒め,590,定食,2019-09-23,2019-09-29,,週代わり定食9番
2019092315,豚肉細切りの四川風炒,730,定食,2019-09-23,2019-09-29,,週代わり定食15番
2019093009,豚肉と大根と春雨のピリ辛炒め」,590,定食,2019-09-30,2019-10-06,,週代わり定食9番
2019093015,鶏肉とじゃがいものカレー,730,定食,2019-09-30,2019-10-06,,週代わり定食15番
2019100709,豚肉と干し豆腐とキャベツのピリ辛炒め,600,定食,2019-10-07,2019-10-13,,週代わり定食9番
2019100715,豚肉細切りの中国みそ炒め,750,定食,2019-10-07,2019-10-13,,週代わり定食15番
2019101409,干し海老と豆腐と玉子の旨煮,600,定食,2019-10-14,2019-10-20,,週代わり定食9番
2019101415,豚バラ肉と玉ねぎのクミン炒め,750,定食,2019-10-14,2019-10-20,,週代わり定食15番
2019102809,豚肉としめじと玉子のピリ辛炒め,600,定食,2019-10-28,2019-11-03,,週代わり定食9番
2019102815,鶏肉と玉ねぎの台湾ソース炒め,750,定食,2019-10-28,2019-11-03,,週代わり定食15番
2019111109,海老と豆腐の旨煮,600,定食,2019-11-11,2019-11-17,,週代わり定食9番
2019111115,豚バラ肉とキャベツの黒コショウ炒め,750,定食,2019-11-11,2019-11-17,,週代わり定食15番
2019111809,豚バラ肉と大根のピリ辛炒め,600,定食,2019-11-18,2019-11-24,,週代わり定食9番
2019111815,鶏肉と玉ねぎのマーラー炒め,750,定食,2019-11-18,2019-11-24,,週代わり定食15番
2019112509,ミックス海鮮と豆腐の旨,600,定食,2019-11-25,2019-12-01,,週代わり定食9番
2019112515,豚レバーのローガンーマ炒め,750,定食,2019-11-25,2019-12-01,,週代わり定食15番
2019120209,豚バラ肉とエリンギとさ子炒め,600,定食,2019-12-02,2019-12-08,,週代わり定食9番
2019120215,黒酢すぶた,750,定食,2019-12-02,2019-12-08,,週代わり定食15番
2019120909,豚肉とキャベツと春雨のピリ辛炒め,600,定食,2019-12-09,2019-12-15,,週代わり定食9番
2019120915,豚バラ肉の中国みそ炒,750,定食,2019-12-09,2019-12-15,,週代わり定食15番
2019121609,豚バラ肉とれんこん炒め,600,定食,2019-12-16,2019-12-22,,週代わり定食9番
2019121615,豚ガツと玉ねぎのピリ辛炒め,700,定食,2019-12-16,2019-12-22,,週代わり定食15番
